Hospitals
7.376831,124.558155	ALAMADA PROVINCIAL COMMUNITY HOSPITAL
7.037504,125.084441	KALASUYAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.62407,124.60576	KALAWAG I (POB.) BARANGAY HEALTH STATION A-ISULAN (Capital)
6.62041,124.60307	KALAWAG I (POB.) BARANGAY HEALTH STATION B-ISULAN (Capital)
6.63081,124.60246	KALAWAG II (POB.) BARANGAY HEALTH STATION A-ISULAN (Capital)
6.63399,124.61273	KALAWAG II (POB.) BARANGAY HEALTH STATION B-ISULAN (Capital)
6.62946,124.5941	KALAWAG III (POB.) BARANGAY HEALTH STATION-ISULAN (Capital)
6.33401,124.92134	KALKAM BARANGAY HEALTH STATION-TUPI
5.72882,125.34477	KALTUAD BARANGAY HEALTH STATION-GLAN
6.69145,124.53445	KANGKONG BARANGAY HEALTH STATION-ESPERANZA
5.89755,125.23875	KAPATAN BARANGAY HEALTH STATION-GLAN
5.99505,124.67151	KAPATE BARANGAY HEALTH STATION-KIAMBA
6.56866,124.56424	KAPAYA BARANGAY HEALTH STATION-BAGUMBAYAN
7.31557,124.57082	KAPAYAWI BARANGAY HEALTH STATION-LIBUNGAN
6.70197,124.60921	KAPINGKONG BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.17303,125.21967	KATANGAWAN BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.7586,124.72986	KATICO BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.014932,124.92109	KATIPUNAN BARANGAY HEALTH STATION-M'LANG
6.47384,124.69101	KATIPUNAN BARANGAY HEALTH STATION-SANTO NINO
6.972451,125.002673	KATIPUNAN II BARANGAY HEALTH STATION-MAKILALA
6.71725,124.6077	KATITISAN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
5.90472,124.81981	KATUBAO BARANGAY HEALTH STATION-KIAMBA
6.06744,125.28214	KAWAS BARANGAY HEALTH STATION-ALABEL (Capital)
6.929908,125.057679	KAWAYANON BARANGAY HEALTH STATION-MAKILALA
5.93842,124.74431	KAYUPO BARANGAY HEALTH STATION-KIAMBA
6.20931,124.84312	KEMATU BARANGAY HEALTH STATION-T'BOLI
6.65559,124.61232	KENRAM BARANGAY HEALTH STATION-ISULAN (Capital)
7.165569,124.963096	KIBIA BARANGAY HEALTH STATION-MATALAM
6.53939,124.6764	KIBID BARANGAY HEALTH STATION-NORALA
7.137182,124.961320	KIBUDOC BARANGAY HEALTH STATION-MATALAM
7.097985,124.912335	KIDAMA BARANGAY HEALTH STATION-MATALAM
6.08804,125.40242	KIHAN BARANGAY HEALTH STATION-MALAPATAN
7.092963,124.882569	KILADA BARANGAY HEALTH STATION-MATALAM
7.32744,124.55495	KILOYAO BARANGAY HEALTH STATION-LIBUNGAN
6.01064,125.41464	KINAM BARANGAY HEALTH STATION-MALAPATAN
6.47199,124.60117	KINAYAO BARANGAY HEALTH STATION-BAGUMBAYAN
6.29521,125.07328	KINILIS BARANGAY HEALTH STATION-POLOMOLOK
6.41046,124.92585	KIPALBIG BARANGAY HEALTH STATION-TAMPAKAN
6.922448,125.154638	KISANTE BARANGAY HEALTH STATION-MAKILALA
7.32206,124.63366	KITUBOD BARANGAY HEALTH STATION-LIBUNGAN
6.18603,125.13768	KLINAN 6 BARANGAY HEALTH STATION-POLOMOLOK
5.95191,124.73173	KLING (LUMIT) BARANGAY HEALTH STATION-KIAMBA
6.52286,124.62976	KOLAMBOG BARANGAY HEALTH STATION-ISULAN (Capital)
6.24605,124.98765	KORONADAL PROPER BARANGAY HEALTH STATION-POLOMOLOK
6.58755,124.62222	KUDANDING BARANGAY HEALTH STATION-ISULAN (Capital)
6.41249,124.73181	KUSAN BARANGAY HEALTH STATION-BANGA
6.870896,124.952076	LA FORTUNA BARANGAY HEALTH STATION-M'LANG
6.891362,124.964221	LA SUERTE BARANGAY HEALTH STATION-M'LANG
6.09420,125.15189	LABANGAL MAIN HEALTH CENTER-GENERAL SANTOS CITY (DADIANGAS)
6.11665,124.78485	LACONON BARANGAY HEALTH STATION-T'BOLI
6.71107,124.639	LAGAO BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
5.89045,125.23035	LAGO BARANGAY HEALTH STATION-GLAN
,6.66958,124.52572	LAGUILAYAN BARANGAY HEALTH STATION-ISULAN (Capital)
6.70107,124.5519	LAGUINDING BARANGAY HEALTH STATION-ESPERANZA
6.25479,124.71797	LAKE LAHIT BARANGAY HEALTH STATION-LAKE SEBU
6.2363,124.7325	LAKE SELOTON BARANGAY HEALTH STATION-LAKE SEBU
6.33457,124.85913	LAM-APOS BARANGAY HEALTH STATION-BANGA
6.35119,124.8199	LAMBA BARANGAY HEALTH STATION-BANGA
6.2553,124.93141	LAMBANGAN BARANGAY HEALTH STATION-T'BOLI
6.43044,124.96668	LAMBAYONG BARANGAY HEALTH STATION-TAMPAKAN
6.30792,124.86714	LAMBINGI BARANGAY HEALTH STATION-BANGA
6.31282,124.81232	LAMBONTONG BARANGAY HEALTH STATION-SURALLAH
6.25296,124.80001	LAMBULING BARANGAY HEALTH STATION-T'BOLI
6.19493,124.76296	LAMCADE BARANGAY HEALTH STATION-LAKE SEBU
6.28326,125.04685	LAMCALIAF BARANGAY HEALTH STATION-POLOMOLOK
6.20264,124.73313	LAMDALAG BARANGAY HEALTH STATION-LAKE SEBU
6.25439,124.67463	LAMFUGON BARANGAY HEALTH STATION-LAKE SEBU
6.2646,124.86441	LAMHAKU BARANGAY HEALTH STATION-T'BOLI
6.30781,124.84454	LAMIAN BARANGAY HEALTH STATION-SURALLAH
6.20522,124.69547	LAMLAHAK BARANGAY HEALTH STATION-LAKE SEBU
6.29173,124.88835	LAMPARI BARANGAY HEALTH STATION-BANGA
7.180558,124.949193	LAMPAYAN BARANGAY HEALTH STATION-MATALAM
6.3457,124.99923	LAMPITAK BARANGAY HEALTH STATION-TAMPAKAN
6.27757,124.90624	LAMSALOME BARANGAY HEALTH STATION-T'BOLI
6.29427,124.79345	LAMSUGOD BARANGAY HEALTH STATION-SURALLAH
7.027172,125.082225	LANAO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.30986,125.14454	LANDAN BARANGAY HEALTH STATION-POLOMOLOK
6.919301,124.899293	LANGKONG BARANGAY HEALTH STATION-M'LANG
6.2322,125.0179	LAPU BARANGAY HEALTH STATION-POLOMOLOK
6.5217,124.63101	LAPUZ BARANGAY HEALTH STATION-NORALA
7.192397,125.008938	LATAGAN HEALTH CENTER-MATALAM
6.02381,124.54883	LEBE BARANGAY HEALTH STATION-KIAMBA
6.91464,125.01515	LEBOCE BARANGAY HEALTH STATION-MAKILALA
6.24511,124.82146	LEMSNOLON BARANGAY HEALTH STATION-T'BOLI
6.876917,124.855699	LEPAGA BARANGAY HEALTH STATION-M'LANG
6.52374,124.7856	LIBAS BARANGAY HEALTH STATION-TANTANGAN
6.977703,125.038568	LIBERTAD BARANGAY HEALTH STATION-MAKILALA
6.64768,124.96292	LIBERTAD BARANGAY HEALTH STATION-COLUMBIO
6.53979,124.62973	LIBERTY BARANGAY HEALTH STATION-NORALA
6.43591,124.98164	LIBERTY BARANGAY HEALTH STATION-TAMPAKAN
6.00948,125.31047	LIBI BARANGAY HEALTH STATION-MALAPATAN
6.962766,124.934256	LIBOO BARANGAY HEALTH STATION-M'LANG
7.16823,124.36439	LIBUNGAN TORRETA BARANGAY HEALTH STATION-PIGKAWAYAN
6.15654,125.23337	LIGAYA BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.990432,124.891156	LIKA BARANGAY HEALTH STATION-M'LANG
7.40451,124.80688	LILIONGAN BARANGAY HEALTH STATION-CARMEN
6.77182,124.61458	LILIT BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.3707,124.98584	LINAN BARANGAY HEALTH STATION-TUPI
7.073884,125.071108	LINANGCOB BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.218476,125.016260	LINAO BARANGAY HEALTH STATION-MATALAM
6.2895,124.72473	LITTLE BAGUIO BARANGAY HEALTH STATION-SURALLAH
6.39997,124.76316	LIWANAY BARANGAY HEALTH STATION-BANGA
5.92,124.78745	LOMUYON BARANGAY HEALTH STATION-KIAMBA
6.50756,124.6848	LOPEZ JAENA BARANGAY HEALTH STATION-NORALA
7.48905,124.523	LOWER DADO BARANGAY HEALTH STATION-ALAMADA
6.25534,124.78826	LOWER MACULAN BARANGAY HEALTH STATION-LAKE SEBU
6.36177,125.29547	LOWER MAINIT BARANGAY HEALTH STATION-MALUNGON
7.060021,124.867791	LOWER MALAMOTE BARANGAY HEALTH STATION-MATALAM
6.901538,125.092969	LUAYON BARANGAY HEALTH STATION-MAKILALA
6.34858,124.68049	LUHIB BARANGAY HEALTH STATION-LAKE SEBU
6.21473,125.0363	LUMAKIL BARANGAY HEALTH STATION-POLOMOLOK
5.87506,124.91013	LUMATIL BARANGAY HEALTH STATION-MAASIM
6.01889,125.29778	LUN MASLA BARANGAY HEALTH STATION-MALAPATAN
6.03841,125.2952	LUN PADIDU BARANGAY HEALTH STATION-MALAPATAN
6.912692,125.047242	LUNA NORTE BARANGAY HEALTH STATION-MAKILALA
6.898684,125.045718	LUNA SUR BARANGAY HEALTH STATION-MAKILALA
6.33887,124.89996	LUNEN BARANGAY HEALTH STATION-TUPI
7.049358,125.111880	LUVIMIN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.886741,124.992862	LUZ VILLAGE BARANGAY HEALTH STATION-M'LANG
6.06127,124.98807	MAAN BARANGAY HEALTH STATION-T'BOLI
6.05796,124.47468	MABAY BARANGAY HEALTH STATION-MAITUM
6.52719,124.90718	MABINI BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.18514,125.14154	MABUHAY BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
7.44849,124.51255	MACABASA BARANGAY HEALTH STATION-ALAMADA
7.017225,124.969725	MACABOLIG BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.79063,124.59212	MADANDING BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.950388,124.925472	MAGALLON BARANGAY HEALTH STATION-M'LANG
6.64949,124.71566	MAGON BARANGAY HEALTH STATION-TANTANGAN
7.013001,125.073091	MAGSAYSAY BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.46595,124.90302	MAGSAYSAY BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.72396,124.5479	MAGSAYSAY BARANGAY HEALTH STATION-ESPERANZA
6.21551,125.05793	MAGSAYSAY BARANGAY HEALTH STATION 1-POLOMOLOK
6.55223,124.78038	MAIBO BARANGAY HEALTH STATION-TANTANGAN
6.885945,125.056107	MALABUAN BARANGAY HEALTH STATION-MAKILALA
6.06265,124.49109	MALALAG (POB.) BARANGAY HEALTH STATION-MAITUM
6.40467,125.28243	MALALAG COGON BARANGAY HEALTH STATION-MALUNGON
6.30528,125.24387	MALANDAG BARANGAY HEALTH STATION-MALUNGON
6.94285,125.128982	MALASILA BARANGAY HEALTH STATION-MAKILALA
6.47302,124.75174	MALAYA BARANGAY HEALTH STATION-BANGA
6.973078,124.916494	MALAYAN BARANGAY HEALTH STATION-M'LANG
5.85664,125.03731	MALBANG BARANGAY HEALTH STATION-MAASIM
7.28562,124.5682	MALENGEN BARANGAY HEALTH STATION-LIBUNGAN
5.96494,124.75959	MALIGANG BARANGAY HEALTH STATION-KIAMBA
6.67144,124.99622	MALIGAYA BARANGAY HEALTH STATION-COLUMBIO
6.30374,125.14383	MALIGO BARANGAY HEALTH STATION-POLOMOLOK
7.088056,124.969716	MALINAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.35779,124.63734	MALITUBOG BARANGAY HEALTH STATION-ALAMADA
6.42154,124.93496	MALTANA BARANGAY HEALTH STATION-TAMPAKAN
6.22241,124.9762	MALUGONG BARANGAY HEALTH STATION-T'BOLI
6.851104,125.087108	MALUNGON BARANGAY HEALTH STATION-MAKILALA
6.79466,124.6809	MAMALI BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.46979,124.8356	MAMBUCAL BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.67749,124.7242	MANGELEN BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.6498,124.7349	MANGILALA BARANGAY HEALTH STATION-TANTANGAN
6.55055,124.84865	MANILI BARANGAY HEALTH STATION-LUTAYAN
7.023335,125.126385	MANONGOL BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.084167,124.918235	MANUBUAN BARANGAY HEALTH STATION-MATALAM
6.44945,124.64255	MANUEL ROXAS BARANGAY HEALTH STATION-SANTO NINO
6.69287,124.59061	MAPANTIG BARANGAY HEALTH STATION-ISULAN (Capital)
7.39857,124.52795	MAPUROK BARANGAY HEALTH STATION-ALAMADA
7.080556,125.087222	MARBEL (EMBAC) BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.696,124.48771	MARGUES BARANGAY HEALTH STATION-ESPERANZA
6.1201,125.26644	MARIBULAN BARANGAY HEALTH STATION-ALABEL (Capital)
6.5738,124.63907	MATAPOL BARANGAY HEALTH STATION-NORALA
7.049981,125.102267	MATEO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.73319,124.60311	MATIOMPONG BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.71123,124.93372	MAYO BARANGAY HEALTH STATION-COLUMBIO
7.034705,125.165241	MEOCHAO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.30691,124.43113	MIDPAPAN II BARANGAY HEALTH STATION-PIGKAWAYAN
6.79791,124.65199	MIDTAPOK BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
7.231304,124.986616	MINAMAING HEALTH CENTER-MATALAM
6.09301,124.4266	MINDUPOK BARANGAY HEALTH STATION-MAITUM
6.36431,124.70926	MOLOY BARANGAY HEALTH STATION-SURALLAH
6.141,124.97577	MONGOKAYO BARANGAY HEALTH STATION-T'BOLI
7.28517,124.55193	MONTAY BARANGAY HEALTH STATION-LIBUNGAN
6.51212,124.83181	MORALES BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
7.053061,125.145835	MUA-AN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.34823,124.79486	NACI (DOCE) BARANGAY HEALTH STATION-SURALLAH
6.35253,125.26614	NAGPAN BARANGAY HEALTH STATION-MALUNGON
6.01886,124.58658	NALUS BARANGAY HEALTH STATION-KIAMBA
6.52415,124.8621	NAMNAMA BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.67229,124.93539	NATIVIDAD BARANGAY HEALTH STATION-COLUMBIO
6.34858,124.46748	NED I BARANGAY HEALTH STATION-LAKE SEBU
7.175989,124.920004	NEW ABRA BARANGAY HEALTH STATION-MATALAM
5.75341,125.34004	NEW AKLAN BARANGAY HEALTH STATION-GLAN
7.254158,124.997279	NEW ALIMODIAN BARANGAY HEALTH STATION-MATALAM
6.993402,124.878664	NEW ANTIQUE BARANGAY HEALTH STATION-M'LANG
6.899436,125.05993	NEW BAGUIO BARANGAY HEALTH STATION-MAKILALA
6.8726,124.925309	NEW BARBAZA BARANGAY HEALTH STATION-M'LANG
7.051936,125.066662	NEW BOHOL BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
7.050207,124.917039	NEW BUGASONG BARANGAY HEALTH STATION-MATALAM
6.900672,125.162766	NEW BULATUKAN BARANGAY HEALTH STATION-MAKILALA
6.67111,124.68272	NEW CARMEN BARANGAY HEALTH CENTER-CITY OF TACURONG
6.81998,124.63608	NEW CEBU BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.957924,125.108152	NEW CEBU BARANGAY HEALTH STATION-MAKILALA
6.897494,124.96605	NEW CONSOLACION BARANGAY HEALTH STATION-M'LANG
6.64258,124.73932	NEW CUYAPO BARANGAY HEALTH STATION-TANTANGAN
6.19337,124.79015	NEW DUMANGAS BARANGAY HEALTH STATION-T'BOLI
6.945379,124.982309	NEW ESPERANZA BARANGAY HEALTH STATION-M'LANG
7.34716,124.41906	NEW IGBARAS BARANGAY HEALTH STATION A-PIGKAWAYAN
6.54584,124.78998	NEW ILOILO BARANGAY HEALTH STATION-TANTANGAN
6.922799,125.190919	NEW ISRAEL BARANGAY HEALTH STATION-MAKILALA
6.891857,124.920688	NEW JANIUAY BARANGAY HEALTH STATION-M'LANG
6.929371,124.94365	NEW KALIBO BARANGAY HEALTH STATION-M'LANG
6.69509,124.63924	NEW LAGAO BARANGAY HEALTH STATION-CITY OF TACURONG
6.54201,124.83136	NEW LAMBUNAO BARANGAY HEALTH STATION-TANTANGAN
6.992136,124.927215	NEW LAWA-AN BARANGAY HEALTH STATION-M'LANG
6.73916,124.5612	NEW PANAY BARANGAY HEALTH STATION-ESPERANZA
7.31188,124.41958	NEW PANAY BARANGAY HEALTH STATION B-PIGKAWAYAN
7.051000,124.870758	NEW PANDAN BARANGAY HEALTH STATION-MATALAM
6.49142,124.88775	NEW PANGASINAN BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.63122,124.55331	NEW PANGASINAN BARANGAY HEALTH STATION-ISULAN (Capital)
6.60268,124.67333	NEW PASSI BARANGAY HEALTH CENTER-CITY OF TACURONG
6.903764,124.937341	NEW RIZAL BARANGAY HEALTH STATION-M'LANG
7.32578,124.56741	NICA-AN BARANGAY HEALTH STATION-LIBUNGAN
7.005562,125.123607	NUANGAN BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.932214,124.994143	NUEVA VIDA BARANGAY HEALTH STATION-M'LANG
6.71213,124.48927	NUMO BARANGAY HEALTH STATION-ESPERANZA
6.879483,125.110612	OLD BULATUKAN BARANGAY HEALTH STATION-MAKILALA
6.22293,125.19347	OLYMPOG BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
7.35699,124.54211	PACAO BARANGAY HEALTH STATION-ALAMADA
7.033605,125.042774	PACO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.23354,125.04304	PAGALUNGAN BARANGAY HEALTH STATION-POLOMOLOK
6.917629,124.966455	PAG-ASA BARANGAY HEALTH STATION-M'LANG
6.09249,125.34232	PAG-ASA BARANGAY HEALTH STATION-ALABEL (Capital)
6.76677,124.5332	PAITAN BARANGAY HEALTH STATION-ESPERANZA
7.31915,124.60429	PALAO BARANGAY HEALTH STATION-LIBUNGAN
6.58526,124.89274	PALAVILLA BARANGAY HEALTH STATION-LUTAYAN
6.3742,124.91145	PALIAN BARANGAY HEALTH STATION-TUPI
6.29342,125.03379	PALKAN BARANGAY HEALTH STATION-POLOMOLOK
6.869916,124.983298	PALMA-PEREZ BARANGAY HEALTH STATION-M'LANG
6.52242,125.00018	PALO BARANGAY HEALTH STATION-TAMPAKAN
6.74993,124.62516	PALUMBI BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.72607,124.48626	PAMANTINGAN BARANGAY HEALTH STATION-ESPERANZA
6.49144,124.63102	PANAY BARANGAY HEALTH STATION-SANTO NINO
5.70083,125.29176	PANGYAN BARANGAY HEALTH STATION-GLAN
6.11353,125.3506	PARAISO BARANGAY HEALTH STATION-ALABEL (Capital)
6.48372,124.81393	PARAISO BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
7.3514,124.58543	PARUAYAN BARANGAY HEALTH STATION-ALAMADA
7.073892,124.951943	PATADON (PATADON EAST) BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.04032,125.31513	PATAG BARANGAY HEALTH STATION-MALAPATAN
7.32944,124.42749	PAYONG-PAYONG BARANGAY HEALTH STATION-PIGKAWAYAN
6.71872,124.7749	PEDTUBO BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.006664,125.168881	PEREZ BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.79958,124.67787	PIDTIGUIAN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
7.45929,124.52462	PIGCAWARAN BARANGAY HEALTH STATION-ALAMADA
6.83803,124.67371	PIMBALAYAN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
7.264525,124.986259	PINAMATON HEALTH CENTER-MATALAM
6.11099,124.37852	PINOL BARANGAY HEALTH STATION-MAITUM
6.79931,124.6344	POBLACION (LAMBAYONG) BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.70154,124.73956	POBLACION (SAMBULAWAN) BARANGAY HEALTH STATION-PRESIDENT QUIRINO
6.22103,125.05923	POBLACION 1 BARANGAY HEALTH STATION-POLOMOLOK
6.22914,125.0633	POBLACION 2 BARANGAY HEALTH STATION-POLOMOLOK
6.21978,125.06844	POBLACION 3 BARANGAY HEALTH STATION-POLOMOLOK
6.22706,125.07812	POBLACION 4 BARANGAY HEALTH STATION-POLOMOLOK
6.948123,124.871802	POBLACION B BARANGAY HEALTH STATION-M'LANG
7.004717,125.089163	POBLACION BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
6.960016,125.09275	POBLACION BARANGAY HEALTH STATION-MAKILALA
6.943334,124.887404	POBLACION BARANGAY HEALTH STATION(M'LANG)-M'LANG
6.22517,124.71119	POBLACION BARANGAY HEALTH STATION(LAKE SEBU)-LAKE SEBU
6.43479,124.67433	POBLACION BARANGAY HEALTH STATION(SANTO NIÑO)-SANTO NINO
6.37578,124.74625	POBLACION BARANGAY HEALTH STATION(SURALLAH)-SURALLAH
61203,124.74796	POBLACION BARANGAY HEALTH STATION(TANTANGAN)-TANTANGAN
6.21359,124.82541	POBLACION BARANGAY HEALTH STATION(T'BOLI)-T'BOLI
6.32542,124.95316	POBLACION BARANGAY HEALTH STATION(TUPI)-TUPI
6.53787,124.56438	POBLACION BARANGAY HEALTH STATION(BAGUMBAYAN)-BAGUMBAYAN
6.68495,124.96214	POBLACION BARANGAY HEALTH STATION(COLUMBIO)-COLUMBIO
6.71822,124.51673	POBLACION BARANGAY HEALTH STATION(ESPERANZA)-ESPERANZA
6.43819,124.92654	POBLACION BARANGAY HEALTH STATION(TAMPAKAN)-TAMPAKAN
6.51735,124.66425	POBLACION BARANGAY HEALTH STATION I(NORALA)-NORALA
7.22623,124.25463	POBLACION I BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.21810,124.25632	POBLACION II BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.21627,124.25383	POBLACION III BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.21915,124.25379	POBLACION IV BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.20337,124.26103	POBLACION IX BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.22253,124.25437	POBLACION MOTHER BARANGAY HEALTH STATION A(COTABATO)-COTABATO
7.22244,124.25434	POBLACION MOTHER BARANGAY HEALTH STATION B(COTABATO)-COTABATO
7.22412,124.24825	POBLACION V BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.22196,124.24636	POBLACION VI BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.22632,124.25069	POBLACION VII BARANGAY HEALTH STATION A(COTABATO)-COTABATO
7.22743,124.24966	POBLACION VII BARANGAY HEALTH STATION B(COTABATO)-COTABATO
7.20126,124.25195	POBLACION VIII BARANGAY HEALTH STATION(COTABATO)-COTABATO
7.42595,124.55164	POLAYAGAN BARANGAY HEALTH STATION(ALAMADA)-ALAMADA
6.27947,125.10902	POLO BARANGAY HEALTH STATION(POLOMOLOK)-POLOMOLOK
6.28707,124.96818	POLONULING BARANGAY HEALTH STATION-TUPI
6.47288,125.00433	PULA-BATO BARANGAY HEALTH STATION-TAMPAKAN
6.933992,124.967889	PULANG-LUPA BARANGAY HEALTH STATION-M'LANG
6.44996,124.75518	PUNONG GRANDE BARANGAY HEALTH STATION-BANGA
6.69211,124.68247	PUROK 2 BARANGAY HEALTH STATION(CITY OF TACURONG)-CITY OF TACURONG
6.69402,124.6796	PUROK 4 BARANGAY HEALTH STATION(CITY OF TACURONG)-CITY OF TACURONG
6.69218,124.67088	PUROK 7 BARANGAY HEALTH STATION(CITY OF TACURONG)-CITY OF TACURONG
6.68646,124.68114	PUROK 9 BARANGAY HEALTH STATION(CITY OF TACURONG)-CITY OF TACURONG
6.14380,125.17936	PUROK MALAKAS BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
6.51796,124.70992	PUTI BARANGAY HEALTH STATION-NORALA
6.40638,124.80427	RANG-AY BARANGAY HEALTH STATION-BANGA
7.28312,124.33824	RANGAYEN BARANGAY HEALTH STATION-ALAMADA
7.43133,124.53176	RARADANGAN BARANGAY HEALTH STATION-ALAMADA
6.42919,124.77504	REYES (POB.) BARANGAY HEALTH STATION-BANGA
5.61221,125.35354	RIO DEL PILAR BARANGAY HEALTH STATION-GLAN
6.45669,124.7325	RIZAL (BO. 3) BARANGAY HEALTH STATION-BANGA
6.42029,124.77042	RIZAL POB. BARANGAY HEALTH STATION-BANGA
6.887945,125.156127	RODERO BARANGAY HEALTH STATION-MAKILALA
6.75298,124.71484	ROMUALDEZ BARANGAY HEALTH STATION-PRESIDENT QUIRINO
7.22072,124.24596	ROSARY HEIGHTS I BARANGAY HEALTH STATION-COTABATO
7.21874,124.24728	ROSARY HEIGHTS II BARANGAY HEALTH STATION-COTABATO
7.21364,124.25383	ROSARY HEIGHTS III BARANGAY HEALTH STATION-COTABATO
7.21371,124.24744	ROSARY HEIGHTS IV BARANGAY HEALTH STATION-COTABATO
7.21014,124.24429	ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION A-COTABATO
7.20876,124.23688	ROSARY HEIGHTS MOTHER BARANGAY HEALTH STATION B-COTABATO
7.21040,124.24850	ROSARY HEIGHTS V BARANGAY HEALTH STATION-COTABATO
7.20470,124.24825	ROSARY HEIGHTS VI BARANGAY HEALTH STATION-COTABATO
7.20197,124.24255	ROSARY HEIGHTS VII BARANGAY HEALTH STATION-COTABATO
7.190101,124.243111	ROSARY HEIGHTS VIII BARANGAY HEALTH STATION-COTABATO
7.20366,124.22952	ROSARY HEIGHTS XI BARANGAY HEALTH STATION-COTABATO
7.21222,124.24310	ROSARY HEIGHTS XIII BARANGAY HEALTH STATION-COTABATO
6.51915,124.88984	ROTONDA BARANGAY HEALTH STATION-CITY OF KORONADAL (Capital)
6.20624,125.04775	RUBBER BARANGAY HEALTH STATION-POLOMOLOK
6.80807,124.61134	SADSALAN BARANGAY HEALTH STATION-LAMBAYONG (MARIANO MARCOS)
6.74286,124.53667	SAGASA BARANGAY HEALTH STATION-ESPERANZA
6.979136,125.079877	SAGUING BARANGAY HEALTH STATION-MAKILALA
6.43085,124.69415	SAJANEBA BARANGAY HEALTH STATION-SANTO NINO
6.70238,124.57971	SALABACA BARANGAY HEALTH STATION-ESPERANZA
6.0964,124.83228	SALACAFE BARANGAY HEALTH STATION-T'BOLI
6.02336,124.56456	SALAKIT BARANGAY HEALTH STATION-KIAMBA
6.72564,124.25514	SALIAO BARANGAY HEALTH STATION-ESPERANZA
7.138705,124.984553	SALVACION BARANGAY HEALTH STATION-MATALAM
6.61353,124.62976	SAMPAO BARANGAY HEALTH STATION-ISULAN (Capital)
6.52875,124.81107	SAN FELIPE BARANGAY HEALTH STATION-TANTANGAN
6.14385,125.17939	SAN ISIDRO (LAGAO 2ND) BARANGAY HEALTH STATION-GENERAL SANTOS CITY (DADIANGAS)
7.077295,125.035469	SAN ISIDRO BARANGAY HEALTH STATION-CITY OF KIDAPAWAN (Capital)
